time_s,pitch_deg,pitch_rate_rad_s,elevator_cmd,altitude_ft
1.22,-20.130789105855445,-0.22049867154352112,1.0,4980.9176721051335
1.23,-20.257107740012685,-0.22189483980884617,1.0,4980.535057164729
1.24,-20.384225621760866,-0.2230927626044103,1.0,4980.148692160845
1.25,-20.512029152577302,-0.22409756275969026,1.0,4979.758577581495
1.26,-20.64040767006915,-0.2249149450107805,1.0,4979.364714086056
1.27,-20.76925378141771,-0.22555113877607622,1.0,4978.967102468014
1.28,-20.89846366403312,-0.2260128417855459,1.0,4978.5657436698675
1.29,-21.027937333907865,-0.22630716475495993,1.0,4978.160638768226
1.3,-21.15757888226818,-0.2264415772816556,1.0,4977.751788970083
1.31,-21.287296681222898,-0.22642385512385158,1.0,4977.339195616543
1.32,-21.417003559202488,-0.22626202901120376,1.0,4976.922860164195
1.33,-21.546616947065672,-0.22596433512023484,1.0,4976.502784177661
1.34,-21.676058995827166,-0.22553916733449444,1.0,4976.078969344497
1.35,-21.80525666702972,-0.2249950313958314,1.0,4975.651417434216
1.36,-21.934141796843296,-0.2243405010399989,1.0,4975.220130320638
1.37,-22.062651135028823,-0.22358417619699772,1.0,4974.7851099558175
1.3800000000000001,-22.19072635994958,-0.22273464332408532,1.0,4974.3463583774865
1.3900000000000001,-22.31831407085191,-0.22180043792727977,1.0,4973.90387770161
1.4000000000000001,-22.44536575866936,-0.22079000931546924,1.0,4973.457670088857
1.41,-22.57183775662988,-0.2197116876199184,1.0,4973.0077377818525
1.42,-22.697691171963378,-0.2185736531010656,1.0,4972.554083067924
1.43,-22.822891800021274,-0.21738390775402816,1.0,4972.096708264202
1.44,-22.947410022124203,-0.21615024921421408,1.0,4971.635615751147
1.45,-23.071220688456712,-0.2148802469548752,1.0,4971.170807942748
1.46,-23.194302987321688,-0.21358122075934005,1.0,4970.702287245542
1.47,-23.31664030205828,-0.2122602214420645,1.0,4970.230056121945
1.48,-23.438220056911778,-0.21092401378453543,1.0,4969.754117041826
1.49,-23.55903355312471,-0.20957906164444742,1.0,4969.2744724825025
1.5,-23.679075796494374,-0.20823151518949887,1.0,4968.791124928743
1.51,-23.798345317614416,-0.20688720020058463,1.0,4968.304076865315
1.52,-23.916843985986237,-0.20555160938312386,1.0,4967.813330758363
1.53,-24.034576819150736,-0.2042298956197538,1.0,4967.318889077753
1.54,-24.15155178795333,-0.2029268670926476,1.0,4966.820754297078
1.55,-24.267779619013037,-0.20164698419926266,1.0,4966.318928852677
1.56,-24.383273595423745,-0.2003943581814097,1.0,4965.81341515854
1.57,-24.498049356669313,-0.19917275138414275,1.0,4965.304215606302
1.58,-24.61212469868627,-0.19798557905808573,1.0,4964.7913325838745
1.59,-24.725519374959006,-0.19683591261644373,1.0,4964.2747684158385
1.6,-24.83825489948031,-0.19572648425606956,1.0,4963.754525426775
1.61,-24.950354352359867,-0.19465969285057746,1.0,4963.230605877936
1.62,-25.061842188808537,-0.19363761102255939,1.0,4962.703012026846
1.6300000000000001,-25.17274405217511,-0.19266199330151196,1.0,4962.171746075153
1.6400000000000001,-25.283086591656915,-0.1917342852740373,1.0,4961.6368101798
1.6500000000000001,-25.39289728525323,-0.19085563363327968,1.0,4961.098206479102
1.6600000000000001,-25.50220426847685,-0.1900268970353402,1.0,4960.555937051773
1.67,-25.611036169285807,-0.18924865767156573,1.0,4960.010003950447
1.68,-25.719421949646076,-0.18852123346713137,1.0,4959.460409164429
1.69,-25.827390754083577,-0.1878446908181631,1.0,4958.907154675573
1.7,-25.934971765534257,-0.18721885778180464,1.0,4958.350242394954
1.71,-26.042194068752067,-0.18664333763604607,1.0,4957.7896742112935
1.72,-26.149086521486165,-0.1861175227288239,1.0,4957.225451942533
1.73,-26.25567763359362,-0.18564060853880285,1.0,4956.657577414066
1.74,-26.361995454208614,-0.1852116078733745,1.0,4956.086052373052
1.75,-26.468067467046744,-0.18482936513269174,1.0,4955.51087853685
1.76,-26.57392049388251,-0.184492570572023,1.0,4954.9320575892925
1.77,-26.67958060619876,-0.18419977449827904,1.0,4954.349591176957
1.78,-26.785073044970478,-0.18394940134026064,1.0,4953.763480909169
1.79,-26.890422148510606,-0.18373976353594487,1.0,4953.173728354275
1.8,-26.995651288272914,-0.18356907518396243,1.0,4952.580335069448
1.81,-27.10078281247696,-0.18343546541029285,1.0,4951.983302548528
1.82,-27.20583799739195,-0.18333699140509388,1.0,4951.382632277906
1.83,-27.3108370060902,-0.1832716510884801,1.0,4950.77832570672
1.84,-27.41579885445813,-0.18323739536793304,1.0,4950.170384261757
1.85,-27.52074138423022,-0.18323213995386697,1.0,4949.55880934
1.86,-27.625681242793256,-0.1832537767036583,1.0,4948.943602327257
1.87,-27.730633869490354,-0.18330018446816362,1.0,4948.324764560908
1.8800000000000001,-27.83561348813978,-0.18336923941838829,1.0,4947.702297382057
1.8900000000000001,-27.940633105471022,-0.18345882483350906,1.0,4947.076202113181
1.9000000000000001,-28.04570451516881,-0.18356684033488896,1.0,4946.446480043232
1.9100000000000001,-28.150838307208492,-0.1836912105540454,1.0,4945.813132464886
1.92,-28.256043882157815,-0.1838298932257262,1.0,4945.176160637289
1.93,-28.361329470115976,-0.18398088670030993,1.0,4944.535565812141
1.94,-28.46670215395736,-0.18414223687267137,1.0,4943.891349263489
1.95,-28.572167896545317,-0.18431204352742686,1.0,4943.243512216955
1.96,-28.67773157158201,-0.1844884661031026,1.0,4942.592055894434
1.97,-28.783396997761105,-0.18466972888024372,1.0,4941.936981540173
1.98,-28.88916697589337,-0.18485412560079217,1.0,4941.278290364891
1.99,-28.99504332867933,-0.18504002352822282,1.0,4940.615983594209
2.0,-29.10102694280874,-0.18522586695992715,1.0,4939.950062453747
2.0100000000000002,-29.207117813072706,-0.185410180205166,1.0,4939.280528146774
2.02,-29.313315088182843,-0.18559157004359766,1.0,4938.6073818951845
2.0300000000000002,-29.41961711799909,-0.18576872768090782,1.0,4937.930624932051
2.04,-29.52602150187894,-0.1859404302194317,1.0,4937.250258475542
2.05,-29.632525137869678,-0.18610554166287394,1.0,4936.566283740103
2.06,-29.73912427247688,-0.18626301347529467,1.0,4935.878701984882
2.07,-29.845814550753666,-0.1864118847154446,1.0,4935.187514431775
2.08,-29.95259106646788,-0.18655128176830477,1.0,4934.492722332478
2.09,-30.059448412115938,-0.18668041769632812,1.0,4933.794326946139
2.1,-30.166380728565645,-0.18679859123337528,1.0,4933.092329520732
2.11,-30.273381754123584,-0.18690518544471454,1.0,4932.386731330305
2.12,-30.380444872835316,-0.1869996660767106,1.0,4931.677533667535
2.13,-30.48756316184092,-0.18708157961995311,1.0,4930.964737799019
2.14,-30.594729437621744,-0.18715055110960707,1.0,4930.248345039785
2.15,-30.70193630098768,-0.18720628168668088,1.0,4929.52835669741
2.16,-30.809176180667894,-0.18724854594372195,1.0,4928.804774086922
2.17,-30.916441375382146,-0.18727718907818192,1.0,4928.07759853825
2.18,-31.023724094281587,-0.18729212387632432,1.0,4927.3468313887715
2.19,-31.13101649566286,-0.18729332755010447,1.0,4926.612474001944
2.2,-31.238310723870626,-0.1872808384489356,1.0,4925.874527726322
2.21,-31.34559894431726,-0.18725475266766248,1.0,4925.132993955165
2.22,-31.452873376560067,-0.18721512742629426,1.0,4924.3878740519285
2.23,-31.56012627205924,-0.18716196997049964,1.0,4923.639169435948
2.24,-31.66734988558221,-0.1870955748638545,1.0,4922.8868815377355
2.25,-31.774536639722406,-0.18701628407931187,1.0,4922.131011776626
2.2600000000000002,-31.881679152058222,-0.18692447771821794,1.0,4921.371561598033
2.27,-31.988770256995824,-0.18682057023060777,1.0,4920.608532443643
2.2800000000000002,-32.09580302544716,-0.18670500670130777,1.0,4919.841925766319
2.29,-32.20277078238174,-0.18657825919219492,1.0,4919.071743026376
2.3000000000000003,-32.30966712228325,-0.18644082315406946,1.0,4918.2979856953025
2.31,-32.41648592255178,-0.18629321392071158,1.0,4917.520655252039
2.32,-32.523221354898276,-0.18613596329667798,1.0,4916.739753182977
2.33,-32.62986789478507,-0.1859696162493779,1.0,4915.955280970782
2.34,-32.73642032897195,-0.18579472771496502,1.0,4915.167240127921
2.35,-32.842873761233584,-0.1856118595265767,1.0,4914.375632133335
2.36,-32.949223616317624,-0.18542157747246973,1.0,4913.580458510667
2.37,-33.05546564221835,-0.1852244484906349,1.0,4912.781720764935
2.38,-33.16159591084381,-0.18502103800551606,1.0,4911.9794204086065
2.39,-33.26761081715823,-0.18481190741154419,1.0,4911.173558972776
2.4,-33.37350707688303,-0.184597611707289,1.0,4910.364137969911
2.41,-33.479281722843595,-0.1843786566343394,1.0,4909.551158931106
2.42,-33.58493207677723,-0.18415529028882213,1.0,4908.7346233949065
2.43,-33.69045560183836,-0.18392801837178627,1.0,4907.914532933384
2.44,-33.79585005009106,-0.1836973410925285,1.0,4907.090889085084
2.45,-33.90111345937647,-0.18346374532676793,1.0,4906.263693407178
2.46,-34.00624414568728,-0.18322770307157213,1.0,4905.432947471738
2.47,-34.111240694658115,-0.18298967007679195,1.0,4904.59865283221
2.48,-34.21610195227196,-0.18275008462297992,1.0,4903.760811068118
2.49,-34.32082701486728,-0.1825093664436459,1.0,4902.919423736632
2.5,-34.42541521852764,-0.18226791578930027,1.0,4902.074492409825
2.5100000000000002,-34.529866127935996,-0.18202611263023022,1.0,4901.226018667221
2.52,-34.634179524772186,-0.18178431599447611,1.0,4900.374004073441
2.5300000000000002,-34.73835539573176,-0.18154286343704615,1.0,4899.518450204283
2.54,-34.84239392024063,-0.1813020706360128,1.0,4898.659358646721
2.5500000000000003,-34.946295457939016,-0.18106223111078026,1.0,4897.796730957925
2.56,-35.050060536003805,-0.18082361605749547,1.0,4896.930568732321
2.57,-35.153689836377,-0.18058647429630245,1.0,4896.060873530805
2.58,-35.25718418296402,-0.18035103232489494,1.0,4895.1876469403505
2.59,-35.36054452886284,-0.18011749447262515,1.0,4894.31089053303
2.6,-35.46377194368131,-0.17988604314925719,1.0,4893.430605895817
2.61,-35.566867600997384,-0.17965683918232478,1.0,4892.5467945709825
2.62,-35.66983276601223,-0.17943002223695237,1.0,4891.659458167851
2.63,-35.77266878344433,-0.17920571131194069,1.0,4890.768598243594
2.64,-35.87537706570716,-0.1789840053058733,1.0,4889.874216377735
2.65,-35.9779590814117,-0.1787649836470127,1.0,4888.976314134896
2.66,-36.080416344229356,-0.1785487069807649,1.0,4888.074893090874
2.67,-36.18275040214885,-0.1783352179085544,1.0,4887.169954821467
2.68,-36.28496282715605,-0.17812454177202244,1.0,4886.261500891298
2.69,-36.387055205363346,-0.17791668747656722,1.0,4885.349532857537
2.7,-36.489029127609996,-0.1777116483483653,1.0,4884.434052307159
2.71,-36.590886180554065,-0.17750940301916082,1.0,4883.515060793608
2.72,-36.69262793827048,-0.17730991633326737,1.0,4882.592559881508
2.73,-36.79425595436871,-0.17711314027141475,1.0,4881.666551139206
2.74,-36.89577175463963,-0.17691901488626136,1.0,4880.737036127597
2.75,-36.99717683023786,-0.17672746924460658,1.0,4879.8040164113045
2.7600000000000002,-37.09847263140388,-0.17653842237156087,1.0,4878.8674935512245
2.77,-37.19966056172665,-0.17635178419215872,1.0,4877.927469100803
2.7800000000000002,-37.30074197294562,-0.17616745646614754,1.0,4876.983944628388
2.79,-37.40171816028784,-0.17598533371192943,1.0,4876.036921694875
2.8000000000000003,-37.50259035833433,-0.17580530411588985,1.0,4875.086401857436
2.81,-37.60335973740698,-0.17562725042361005,1.0,4874.132386658341
2.82,-37.70402740046595,-0.17545105080971637,1.0,4873.174877677113
2.83,-37.804594380504994,-0.1752765797233913,1.0,4872.213876448572
2.84,-37.90506163843108,-0.1751037087068277,1.0,4871.24938455224
2.85,-38.00543006141254,-0.1749323071841843,1.0,4870.281403534114
2.86,-38.10570046167906,-0.17476224321884695,1.0,4869.309934951365
2.87,-38.20587357575533,-0.17459338423707665,1.0,4868.334980353713
2.88,-38.305950064108856,-0.17442559771636496,1.0,4867.356541313231
2.89,-38.40593051119223,-0.17425875183707926,1.0,4866.37461937964
2.9,-38.50581542585821,-0.17409271609621663,1.0,4865.389216095209
2.91,-38.60560524212648,-0.17392736188232977,1.0,4864.400333046913
2.92,-38.70530032027953,-0.17376256301091184,1.0,4863.407971769571
2.93,-38.80490094826497,-0.17359819621975012,1.0,4862.412133831531
2.94,-38.904407343381955,-0.17343414162397802,1.0,4861.412820782512
2.95,-39.00381965422743,-0.17327028313074724,1.0,4860.410034187138
2.96,-39.10313796288058,-0.17310650881364567,1.0,4859.403775613755
2.97,-39.20236228730121,-0.17294271124716284,1.0,4858.394046612084
2.98,-39.301492583919824,-0.17277878780168232,1.0,4857.380848746747
2.99,-39.40052875039677,-0.17261464089964118,1.0,4856.364183586091
3.0,-39.49947062852778,-0.1724501782336444,1.0,4855.344052691013
3.0100000000000002,-39.59831800727482,-0.17228531294746557,1.0,4854.320457622409
3.02,-39.69707062590028,-0.1721199637809934,1.0,4853.293399952352
3.0300000000000002,-39.795728177184465,-0.17195405518029663,1.0,4852.262881249189
3.04,-39.89429031070616,-0.17178751737408976,1.0,4851.228903081268
3.0500000000000003,-39.99275663616684,-0.1716202864179743,1.0,4850.191467009485
3.06,-40.09112672674048,-0.17145230420791296,1.0,4849.150574613363
3.0700000000000003,-40.18940012243119,-0.17128351846446804,1.0,4848.106227457523
3.08,-40.287576333421754,-0.17111388268939423,1.0,4847.0584271252155
3.09,-40.38565484339756,-0.17094335609622982,1.0,4846.007175181061
3.1,-40.48363511283095,-0.17077190351656654,1.0,4844.9524732120335
3.11,-40.5815165822118,-0.17059949528371515,1.0,4843.8943227902055
3.12,-40.67929867521177,-0.17042610709549647,1.0,4842.8327254951
3.13,-40.77698080177024,-0.17025171985790882,1.0,4841.76768289879
3.14,-40.87456236109066,-0.17007631951141558,1.0,4840.699196599424
3.15,-40.972042744537674,-0.16989989684160142,1.0,4839.6272681728005
3.16,-41.069421338425975,-0.16972244727592184,1.0,4838.551899198443
3.17,-41.16669752669318,-0.1695439706682594,1.0,4837.473091270775
3.18,-41.263870693449064,-0.16936447107296454,1.0,4836.390845969319
3.19,-41.36094022539602,-0.16918395651002688,1.0,4835.305164888501
3.2,-41.45790551411504,-0.16900243872298432,1.0,4834.216049611568
3.21,-41.55476595821322,-0.16881993293112657,1.0,4833.123501736671
3.22,-41.65152096532988,-0.16863645757750154,1.0,4832.027522850782
3.23,-41.748169953998335,-0.16845203407417483,1.0,4830.928114552051
3.24,-41.8447123553618,-0.16826668654613441,1.0,4829.825278427452
3.25,-41.94114761474362,-0.1680804415751667,1.0,4828.719016082585
3.2600000000000002,-42.03747519307009,-0.16789332794496387,1.0,4827.6093291044235
3.27,-42.1336945681484,-0.16770537638865282,1.0,4826.496219098568
3.2800000000000002,-42.22980523579957,-0.16751661933986334,1.0,4825.379687655717
3.29,-42.3258067108495,-0.16732709068838097,1.0,4824.259736388922
3.3000000000000003,-42.421698527980006,-0.16713682554135184,1.0,4823.136366888881
3.31,-42.51748024244362,-0.16694585999093406,1.0,4822.009580757469
3.3200000000000003,-42.61315143064516,-0.1667542308892117,1.0,4820.879379607737
3.33,-42.708711690594996,-0.16656197563111133,1.0,4819.745765030384
3.34,-42.804160642237925,-0.16636913194598246,1.0,4818.608738642186
3.35,-42.89949792766302,-0.16617573769843275,1.0,4817.468302037567
3.36,-42.994723211199386,-0.16598183069892625,1.0,4816.324456825852
3.37,-43.08983617940399,-0.16578744852458732,1.0,4815.177204620093
3.38,-43.184836540946556,-0.1655926283505734,1.0,4814.026547022164
3.39,-43.279724026398355,-0.16539740679231368,1.0,4812.872485648841
3.4,-43.37449838793065,-0.16520181975884304,1.0,4811.715022087097
3.41,-43.46915939892915,-0.16500590231738957,1.0,4810.554157972336
3.42,-43.56370685353108,-0.16480968856931785,1.0,4809.389894902706
3.43,-43.65814056609138,-0.16461321153745953,1.0,4808.222234491259
3.44,-43.75246037058395,-0.16441650306481698,1.0,4807.051178339869
3.45,-43.84666611994554,-0.16421959372455805,1.0,4805.8767280727625
3.46,-43.94075768536745,-0.16402251274117802,1.0,4804.698885291815
3.47,-44.03473495554257,-0.1638252879226486,1.0,4803.517651621252
3.48,-44.12859783587279,-0.16362794560333524,1.0,4802.33302866295
