time_s,gyro_pitch_rad_s
18.44,-0.023016586093515996
18.45,-0.03486831710311518
18.46,-0.011910910197350095
18.47,-0.0332061672279412
18.48,-0.014826284104542429
18.49,-0.02022535707648755
18.5,-0.03093602559811483
18.51,-0.00669710259529618
18.52,-0.0363630460764683
18.53,-0.015211609474995783
18.54,-0.014373808696670213
18.55,-0.031062321846998548
18.56,-0.010407961847275913
18.57,-0.026809582297624725
18.58,-0.021398690374031432
18.59,-0.021658925005149595
18.6,-0.025581754743640574
18.61,-0.01610711574243708
18.62,-0.016256849621339473
18.63,-0.04165360211815711
18.64,-0.011101432719948876
18.65,-0.040746314993582236
18.66,-0.013772500232827323
18.67,-0.012807485265925764
18.68,-0.03496078248504779
18.69,-0.02813584979700515
18.7,-0.035061349517173254
18.71,-0.026130116224012356
18.72,-0.027037859018622008
18.73,-0.016137528268577405
18.74,-0.010807670694620512
18.75,-0.009930551752773336
18.76,-0.029485708960967725
18.77,-0.025932893385187176
18.78,-0.04065170962796549
18.79,-0.031852688520604786
18.8,-0.014122138751828123
18.81,-0.007591501136125684
18.82,-0.036067499424191726
18.83,-0.029625341657971146
18.84,-0.02394145200558107
18.85,-0.02085248520602723
18.86,-0.031726841319482155
18.87,-0.0193669119475598
18.88,-0.02832263905777826
18.89,-0.023705498389663387
18.9,-0.0180748701685912
18.91,-0.023450233766192218
18.92,-0.027855066006172286
18.93,-0.02456406256974351
18.94,-0.024328358316195054
18.95,-0.02712160995088608
18.96,-0.025986237910227517
18.97,-0.007388589882017734
18.98,-0.01774265805080261
18.99,-0.026283453260133597
19.0,-0.016335910156922245
19.01,-0.0266204597597117
19.02,-0.011527835649036488
19.03,-0.01953948373236686
19.04,-0.02428575715400599
19.05,-0.018712402908577324
19.06,-0.038875176495614394
19.07,-0.03441093878978796
19.08,-0.03505936956952585
19.09,-0.021667550203045633
19.1,-0.00574869900218878
19.11,-0.0007377215433306793
19.12,-0.01664709212136713
19.13,-0.017996044599430033
19.14,-0.04099195894625719
19.15,-0.028385017860794618
19.16,-0.030813021604237083
19.17,-0.02912057021248896
19.18,-0.024570448444011694
19.19,-0.027586837907059774
19.2,-0.04263585791007497
19.21,-0.015340690686474864
19.22,-0.03352416267256736
19.23,-0.0203812086291732
19.24,-0.0020098010772768675
19.25,-0.031921429806705426
19.26,-0.04800742080859549
19.27,-0.025541555027601606
19.28,-0.011648889187546089
19.29,-0.003051989189383361
19.3,-0.03490794330036796
19.31,-0.01762244414344748
19.32,-0.027219535325488733
19.33,-0.023602914011410254
19.34,0.0039229979946799505
19.35,-0.03752714903140243
19.36,-0.01993706463848786
19.37,-0.017774550245776562
19.38,-0.011570644598872925
19.39,-0.021425707344901648
19.4,-0.019302069634956478
19.41,-0.026276101947057404
19.42,-0.019645393169987025
19.43,-0.025745636688968208
19.44,-0.01607505140505459
19.45,-0.02596393502875514
19.46,-0.018473894067016935
19.47,-0.022514597432471983
19.48,-0.01093854300910942
19.49,-0.02269006388622186
19.5,-0.039883537359786905
19.51,-0.009511088574306683
19.52,-0.031164722353509287
19.53,-0.028622163338755394
19.54,-0.028018218329129322
19.55,-0.008294334708404426
19.56,-0.043372572833081754
19.57,0.00938453480077044
19.58,-0.011409507065431482
19.59,-0.019722129753220904
19.6,-0.022521790480789766
19.61,-0.019195718297410524
19.62,-0.017001150021386812
19.63,-0.016053303274581928
19.64,-0.01743224434450912
19.65,-0.022993542358006613
19.66,-0.02747755553806446
19.67,-0.029211306952859815
19.68,-0.032659912688392315
19.69,-17.960397826518985
19.7,-17.47807723713898
19.71,-19.916221125461504
19.72,-18.233280287867235
19.73,-16.646754481562116
19.74,-13.951158653242171
19.75,-12.39413728095892
19.76,-9.486435685558675
19.77,-10.5549162893061
19.78,-10.698413928682053
19.79,-10.772363911929903
19.8,-10.742743801912344
19.81,-10.565963495688665
19.82,-10.235571505729167
19.83,-9.763178255761098
19.84,-9.176630638996123
19.85,-8.524777329490812
19.86,-7.831975362284733
19.87,-7.1529068269029095
19.88,-6.482639710303953
19.89,-5.794274011186492
19.9,-5.119665547027891
19.91,-4.457565003227605
19.92,-3.8006478905881496
19.93,-3.1647539396795756
19.94,-2.5415868259232486
19.95,-1.9238251536450113
19.96,-1.3425835604387388
19.97,-0.7794235588909929
19.98,-0.22297177350604494
19.99,0.29627495389949493
20.0,0.7963126018132416
20.01,1.2739373315459823
20.02,1.7116809824793422
20.03,2.131831342861965
20.04,2.501690397222586
20.05,2.8783978438808044
20.06,3.201537090329393
20.07,3.488104327825568
20.08,3.767134154739275
20.09,4.0038752272037605
20.1,4.182389786713044
20.11,4.36526481495454
20.12,4.510672459250489
20.13,4.626193465926564
20.14,4.733707130675191
20.15,4.786837213789108
20.16,4.824099327398117
20.17,4.820445878086031
20.18,4.837607118534686
20.19,4.788005004933475
20.2,4.749974592725039
20.21,4.68241466461067
20.22,4.60630287764912
20.23,4.476977549984153
20.24,4.3430849645400125
20.25,4.2456993315049765
20.26,4.121310656964065
20.27,3.965463845195536
20.28,3.7966750307775476
20.29,3.6242534969810354
20.3,3.466205134768159
20.31,3.2729474604387163
20.32,3.108715679158782
20.33,2.9280516914533354
20.34,2.75139455482705
20.35,2.5857959170109943
20.36,2.381605204507637
20.37,2.1953051497832172
20.38,2.026575088683264
20.39,1.8397411034375135
20.4,1.6857024083430772
20.41,1.5287385631247232
20.42,1.373040927537511
20.43,1.2307865909811704
20.44,1.077571867758097
20.45,0.9595583313538569
20.46,0.8174654079214965
20.47,0.6926300943269627
20.48,0.5708983312946523
20.49,0.4633872309524425
20.5,0.36396889608643723
20.51,0.24710292822841007
20.52,0.15534524165648123
20.53,0.07103423052784105
20.54,-0.02137491746310125
20.55,-0.09237521485186448
20.56,-0.1596486446296146
20.57,-0.2114641169290344
20.58,-0.27770087427417633
20.59,-0.33349257662890136
20.6,-0.37720817732885215
20.61,-0.4327541070500452
20.62,-0.4684626564113252
20.63,-0.5104577203864435
20.64,-0.5402764318278792
20.65,-0.5785956585408866
20.66,-0.623545613053001
20.67,-0.6236377339400855
20.68,-0.6281497467555313
20.69,-0.6503444103924979
20.7,-0.6645062174526679
20.71,-0.6738593365317688
20.72,-0.6950870819519113
20.73,-0.7016052089156469
20.74,-0.7153788640772437
20.75,-0.716172018286269
20.76,-0.7089829010711862
20.77,-0.7036993610371278
20.78,-0.7163429361791345
20.79,-0.7173856237175885
20.8,-0.7096546059830561
20.81,-0.6993855112401887
20.82,-0.7146417219504628
20.83,-0.7171350070029355
20.84,-0.6929145707069739
20.85,-0.6922131342998091
20.86,-0.6771198684375715
20.87,-0.665062357721526
20.88,-0.6592534999856678
20.89,-0.6309939849239422
20.9,-0.6327680619541148
20.91,-0.6233202918156358
20.92,-0.6102207729610949
20.93,-0.6178281089586435
20.94,-0.585970879686326
20.95,-0.5870033523075359
20.96,-0.5694175122985594
20.97,-0.5767452785240978
20.98,-0.5715278415911677
20.99,-0.5378620022681121
21.0,-0.5324392751536996
21.01,-0.5355199303534535
21.02,-0.5256588469648993
21.03,-0.49633818820518505
21.04,-0.5102023814217724
21.05,-0.47265618775255114
21.06,-0.48893108398866136
21.07,-0.46445782917952494
21.08,-0.4651265686085905
21.09,-0.4468950349523171
21.1,-0.4495478971861241
21.11,-0.437012625754197
21.12,-0.42635567196303426
21.13,-0.4282726650131136
21.14,-0.402437191147547
21.15,-0.40668334358465363
21.16,-0.39565600344222723
21.17,-0.3952467209182027
21.18,-0.4029751530777098
21.19,-0.3714265524973534
21.2,-0.3376705390571753
21.21,-0.346346733064564
21.22,-0.3468964685170537
21.23,-0.34195787094076113
21.24,-0.33184209798916664
21.25,-0.3194444499342868
21.26,-0.32968186477258166
21.27,-0.29979569676216306
21.28,-0.29693660978099334
21.29,-0.2901287420045832
21.3,-0.2862098080291472
21.31,-0.2837402580006743
21.32,-0.2706018115389211
21.33,-0.2648528696730475
21.34,-0.26779326849906593
21.35,-0.2635069194510422
21.36,-0.250301766560813
21.37,-0.22940642773031805
21.38,-0.2508866561150186
21.39,-0.2467885449873344
21.4,-0.22409855367856915
21.41,-0.21888205200600144
21.42,-0.21131123611385744
21.43,-0.204265186978124
21.44,-0.20260086086979986
21.45,-0.1791364095714114
21.46,-0.20371072705933366
21.47,-0.18965240286681026
21.48,-0.17606379832700048
21.49,-0.1851242992760448
21.5,-0.16410901794070473
21.51,-0.13939057839464103
